Path	URL	Permissions
PENJUALAN / Promosi / Kupon / Tambah Kupon	promosi/voucher-diskon/voucher-campaign	view,create,update,delete
PENJUALAN / Promosi / Kupon / Daftar Kupon	promosi/voucher-diskon/voucher	view,create,update,delete
PENJUALAN / Promosi / Poin Reward		view,create,update,delete
PENJUALAN / Promosi / Poin Reward / Per Total Pembelian	promosi/poin/invoice	view,create,update,delete
PENJUALAN / Promosi / Poin Reward / Per Produk	promosi/poin/product	view,create,update,delete
PENJUALAN / Promosi / Poin Reward / Pengaturan Penukaran	promosi/poin/redeem-setting	view,create,update,delete
PENJUALAN / Komisi		view,create,update,delete
PENJUALAN / Komisi / Daftar Grup Komisi	commission/group	view,create,update,delete
PENJUALAN / Invoice		view,create,update,delete
PENJUALAN / Invoice / Daftar Penawaran Penjualan	penjualan/sq-list	view,create,update,delete
PENJUALAN / Invoice / Daftar Pesanan Penjualan	penjualan/so-list-v2	view,create,update,delete
PENJUALAN / Invoice / Daftar Pengiriman Penjualan	penjualan/do-list-v2	view,create,update,delete
PENJUALAN / Invoice / Daftar Invoice	penjualan/invoice-v2	view,create,update,delete
PENJUALAN / Invoice / Daftar Penerimaan Penjualan	penjualan/sales-receipt-list-v2	view,create,update,delete
PENJUALAN / Marketing		view,create,update,delete
PENJUALAN / Marketing / Kirim Kampanye Marketing	marketing/kampanye	view,create,update,delete
PENJUALAN / Marketing / Beli Kampanye Marketing	marketing/transaction	view,create,update,delete
ORDER ONLINE		view,create,update,delete
ORDER ONLINE / Menu Favorit		
ORDER ONLINE / Pesanan	marketplace-order	view,create,update,delete
ORDER ONLINE / majoo Order		view,create,update,delete
ORDER ONLINE / majoo Order / Pengaturan Penjualan	toko-online/pengaturan-penjualan	view,create,update,delete
ORDER ONLINE / majoo Order / Pengaturan Tampilan	toko-online/kustomisasi-toko	view,create,update,delete
ORDER ONLINE / majoo Order / Pengaturan Lainnya	toko-online/pengaturan-lain	view,create,update,delete
ORDER ONLINE / Marketplace		view,create,update,delete
ORDER ONLINE / Marketplace / GrabMart	grabmart	view,create,update,delete
ORDER ONLINE / Marketplace / Shopee	shopee	view,create,update,delete
ORDER ONLINE / Food Order		view,create,update,delete
ORDER ONLINE / Food Order / GrabFood	grabfood	view,create,update,delete
ORDER ONLINE / Food Order / GoFood	gofood	view,create,update,delete
